name,state,id,pop_2020
Berrien County,Georgia,390eff9b,19408
Bibb County,Georgia,86c480cd,152737
Bleckley County,Georgia,a939d77c,12955
Brantley County,Georgia,9446915f,19202
Brooks County,Georgia,db2cfa48,15357
Bryan County,Georgia,58b374e5,40755
Bulloch County,Georgia,be28d75b,80839
Burke County,Georgia,58b31a1a,22648
Butts County,Georgia,4a2f9c0b,25426
Calhoun County,Georgia,72100264,6231
Camden County,Georgia,2403c88d,55388
Candler County,Georgia,f31e3e96,10985
Carroll County,Georgia,f233a3cf,121633
Catoosa County,Georgia,727f1d3b,67996
Charlton County,Georgia,f7d1b5db,13430
Chatham County,Georgia,867f5875,289463
Chattahoochee County,Georgia,aef36e51,10551
Chattooga County,Georgia,a9eb83ec,24843
Cherokee County,Georgia,dbbaad56,265274
Clarke County,Georgia,1f41dd3d,127795
Clay County,Georgia,dd3126b6,2866
Clayton County,Georgia,b20dbbdc,292646
Clinch County,Georgia,6439d1e7,6582
Cobb County,Georgia,7fa8c6e5,762944
Coffee County,Georgia,83667c5f,43218
Colquitt County,Georgia,58edf856,45542
Columbia County,Georgia,823e07d5,160377
Cook County,Georgia,5df8b186,17291
Coweta County,Georgia,183fed3e,150849
Crawford County,Georgia,0fef9eab,12231
Crisp County,Georgia,a741c01b,22034
Dade County,Georgia,363c70d4,16057
Dawson County,Georgia,d9dd2fc5,27113
Decatur County,Georgia,f3aa7bf3,26457
DeKalb County,Georgia,eb72f32d,762009
Dodge County,Georgia,56b5caa8,20452
Dooly County,Georgia,886352a8,13174
Dougherty County,Georgia,0fdb10bb,86477
Douglas County,Georgia,8acb48e8,147988
Early County,Georgia,f84a517b,10037
Echols County,Georgia,43915877,4002
Effingham County,Georgia,8b34fe6c,65765
Elbert County,Georgia,7cd4d8b9,19335
Emanuel County,Georgia,a0b09452,22507
Evans County,Georgia,fe5f3a78,10638
Fannin County,Georgia,a115fb48,26521
Fayette County,Georgia,a6ecd07e,115821
Floyd County,Georgia,f83ce51a,98604
Forsyth County,Georgia,ecf12c8e,250847
Franklin County,Georgia,8d1dcf4f,23504
Fulton County,Georgia,d5afb39a,1077402
Gilmer County,Georgia,482c5b0b,31978
Glascock County,Georgia,49e3b9e7,2984
Glynn County,Georgia,42b65a15,85568
Gordon County,Georgia,489e19f5,58780
Grady County,Georgia,00da8e82,24491
Greene County,Georgia,5d974cf6,18837
Gwinnett County,Georgia,2fe3f66b,942627
Habersham County,Georgia,6d81b04a,46047
Hall County,Georgia,2ca1d969,206591
Hancock County,Georgia,7041d951,8494
Haralson County,Georgia,e23f7939,30383
Harris County,Georgia,960097c9,36080
Hart County,Georgia,dc609c10,26406
Heard County,Georgia,43fa6429,11973
Henry County,Georgia,cef43a56,239139
Houston County,Georgia,fc0c24ab,160110
Irwin County,Georgia,89f547c8,9387
Jackson County,Georgia,bc72929c,76199
Jasper County,Georgia,f846d7f1,14483
Jeff Davis County,Georgia,def5adc8,15213
Jefferson County,Georgia,47c4eed4,15267
Jenkins County,Georgia,cfdef5dd,8746
Johnson County,Georgia,5b3c3c69,9667
Jones County,Georgia,403449a7,28787
Lamar County,Georgia,857d0aca,19261
Lanier County,Georgia,54c18325,10737
Laurens County,Georgia,4ba98f43,47512
Lee County,Georgia,749a841c,30234
Liberty County,Georgia,5612bc66,63004
Lincoln County,Georgia,e56ec46e,8031
Long County,Georgia,10994e5b,20171
Lowndes County,Georgia,585a05a9,118268
Lumpkin County,Georgia,447eb052,34186
McDuffie County,Georgia,312c0121,21162
McIntosh County,Georgia,dbaea731,14387
Macon County,Georgia,a42bc7b8,12712
Madison County,Georgia,4430718c,30457
Marion County,Georgia,a3af8260,8516
Meriwether County,Georgia,af5c5b6b,21164
Miller County,Georgia,26e872fe,5622
Mitchell County,Georgia,8cc179fd,21602
Monroe County,Georgia,3ab76c4a,28042
Montgomery County,Georgia,3afc1449,9012
Morgan County,Georgia,ca909997,19636
Murray County,Georgia,836c916a,40032
