,name,state,id,pop_2020
18558,Corner township,Nebraska,dcd9aa66,20
18950,Nenzel village,Nebraska,41ef22c3,20
19110,Sholes village,Nebraska,b2afcd18,20
22359,Atwood township,North Dakota,a66555ea,20
22398,Beisigl township,North Dakota,32c4b85f,20
22511,Calio city,North Dakota,7ccf214f,20
22614,Cow Creek UT,North Dakota,ad9d55e3,20
22639,Darling Springs township,North Dakota,4e5b862c,20
22747,Ellisville township,North Dakota,a184c137,20
22860,Garnet township,North Dakota,62e02683,20
22920,Grandfield township,North Dakota,70ba1df6,20
22958,Hamberg city,North Dakota,d9b884b1,20
22961,Hamerly township,North Dakota,02440806,20
22998,Hayland township,North Dakota,8c8406ae,20
23101,Kern township,North Dakota,979152e0,20
23224,Lynn township,North Dakota,2681b2e6,20
23501,Phoenix UT,North Dakota,056692e8,20
23593,Riverview township,North Dakota,22b9643a,20
23684,Sheldon township,North Dakota,721458c5,20
23704,Silver Lake township,North Dakota,44a62edd,20
23796,Strong township,North Dakota,bbf0e8e9,20
23870,Upland township,North Dakota,0e6ead28,20
23942,West Antelope township,North Dakota,7c976ee3,20
30006,Anina township,South Dakota,c0a2c67a,20
30159,Castle Butte UT,South Dakota,142d8f56,20
30660,Logan township (Jerauld County),South Dakota,44acbe18,20
30877,Plummer township,South Dakota,af6519db,20
30891,Progressive UT,South Dakota,3e089eb5,20
30951,Rockford township,South Dakota,8460cf60,20
31245,Witten township,South Dakota,32bdea41,20
22305,Albertha township,North Dakota,d25edf2c,21
22381,Barnes township,North Dakota,63e66e3e,21
22449,Border township,North Dakota,3f5216cc,21
22495,Bunker township,North Dakota,1f0b5ba7,21
22546,Cedar township,North Dakota,fa83e35c,21
22601,Conway city,North Dakota,41bfb3b8,21
22609,Cottonwood Lake township,North Dakota,de9b421b,21
22647,De Groat township,North Dakota,9b44fbd9,21
22702,East Alma township,North Dakota,364bab4c,21
22787,Falsen township,North Dakota,5ae937ca,21
22830,Fortuna city,North Dakota,b4e5677d,21
22836,Frazier township,North Dakota,ed42b361,21
22881,Glacier township,North Dakota,c885d413,21
23131,Lake Williams township (Kidder County),North Dakota,282ede7e,21
23179,Lightning Creek township,North Dakota,d6ee5167,21
23183,Lincoln Valley township,North Dakota,8baee5fb,21
23199,Lockwood township,North Dakota,4d0bc9a5,21
23254,Marstonmoor township,North Dakota,fe3b5cfb,21
23424,Northwest township (Kidder County),North Dakota,f0cfdb25,21
23657,Sauk Prairie township,North Dakota,773bfec4,21
23785,Stoneview township,North Dakota,f72f9017,21
23883,Vanville township,North Dakota,77ff4f64,21
23976,Wild Rose township,North Dakota,e70bd190,21
24009,Woodward township,North Dakota,fce4d419,21
18422,Barada village,Nebraska,baddacf7,22
18622,Dustin township,Nebraska,2a966c52,22
18773,Holt Creek township,Nebraska,ca9132de,22
18820,Lamar village,Nebraska,21ee5199,22
18979,Obert village,Nebraska,acff8d60,22
22651,Deep Creek UT,North Dakota,acb1623d,22
22688,Dublin township,North Dakota,6303c228,22
22794,Fay township,North Dakota,aa447099,22
22865,Gate township,North Dakota,fd632379,22
22911,Grainbelt township,North Dakota,22c9fc6f,22
23057,Huron township,North Dakota,866c61cf,22
23128,Lake Ibsen township,North Dakota,8036ef77,22
23277,McKinnon township,North Dakota,c764d88c,22
23316,Minto township,North Dakota,855ed797,22
23547,Prophets township,North Dakota,7e344fff,22
23553,Rainbow township,North Dakota,98b32f5a,22
23612,Roosevelt township,North Dakota,ea0268d4,22
23716,Sorenson township,North Dakota,c477e30a,22
23970,White Lake township,North Dakota,9ce8f872,22
24017,York city,North Dakota,19a87f79,22
8670,Bassett city,Kansas,49016cff,23
8929,Cook township,Kansas,5224e7df,23
9015,Eagle township (Barber County),Kansas,846831a3,23
9611,Lone Elm city,Kansas,0b204b7d,23
9756,Morris township,Kansas,5d198a21,23
10008,Radium city,Kansas,7546adaf,23
10127,Scottsville city,Kansas,25be6808,23
10365,Vicksburg township,Kansas,1d1d3654,23
22327,Amidon city,North Dakota,03246a0c,23
22337,Antelope Creek township,North Dakota,d888ea43,23
22360,Aurena township,North Dakota,08e7a161,23
22387,Bartley township,North Dakota,b05a8996,23
22459,Boyesen township,North Dakota,a806c043,23
22496,Burg township,North Dakota,7b40e770,23
22556,Champion township,North Dakota,bc64dcc2,23
22653,Deepwater township,North Dakota,291c788e,23
22657,Delger township,North Dakota,8e5bb9f7,23
22919,Grand Valley township,North Dakota,91495d3a,23
22991,Havelock township,North Dakota,d414e948,23
23022,Hiddenwood township,North Dakota,8eae2e44,23
23190,Linden township,North Dakota,285f4eb6,23
23307,Mineral Springs township,North Dakota,6d3e9345,23
23309,Minnesota township,North Dakota,74c08568,23
23351,Mylo city,North Dakota,d453121a,23
23466,Owego township,North Dakota,d1eddb1b,23
